,id,description,location
16049,170690663,"Cons. General/Upper GI/ Bariatric Surgeon and Upper GI lead @STSFTrust; Visiting Prof @UoSResearch; Founder @T4UGIS; Chair, National Bariatric Surgery Registry","Sunderland, England"
16061,1109391055764508673,Robotic Urology Surgeon. All views my own.,"Sunderland, England"
16244,1002505473646563328,"President-elect ENTUK, Surgeon, wife, Mum, daughter, sister in different orders depending!","North East, England"
16495,40562490,"Cardiologist/electrophysiologist, Freeman Hospital, Newcastle 🇬🇧; MBChB 🇮🇶; PhD in AF and sleep-disorderd breathing, CHRD | UoA 🇦🇺","Newcastle Upon Tyne, England"
16597,45331541,"Cardiologist, father of 2, husband of 1, Man Utd fan, armchair politician, and slow runner. All views are personal. Retweets not an endorsement",United Kingdom
16626,297666649,"Consultant Cardiologist (Echo, CMR, Heart Valve Disease)| PhD (HF & CRT) | Dad | Runner | Husband to @drannagregory | Fantasy Fiction | #AVFC | Views my own","Worcester, England"
16663,635009607,"Trauma and Acute Care Surgeon, Medical Examiner, violence & injury prevention, musician, #pointoflight #Progress1000 @youthviolenceUK @GAVEducation @coyl2022","London, England"
16675,3008250293,"MBBS MRCP Cardiologist, General Physician","South Shields, England"
16684,2881837718,Consultant Surgeon Peritoneal Malignancy Institute Basingstoke,"Basingstoke, United Kingdom"
18632,366269513,#Public Health & Health Promotion Specialist #Advanced Practice Nurse #Research Assistant @TEWV #Senior Clinician #MD in my home 🏡,"Harrogate, England"
18739,720881718,"Consultant Vascular and Endovascular Surgeon @LivHospitals, @LHCHFT and @Spire_Liverpool","Liverpool, England"
18840,576530903,"Consultant Transplant Surgeon \n& NORS Clinical Lead,\n\nRoyal Infirmary of Edinburgh \n\n(@EdinSurg & @NHS_Lothian)","Edinburgh, Scotland"
18943,1569947506590552064,Medical Doctor| Urological Surgeon| ST1,"England, United Kingdom"
19010,224037772,Paediatrician starting life as a haematology trainee. Interests in sickle cell & global health + New Orleans brass bands 🎶🎺🎷+ LFC,"London, England"
19171,1495444292051079169,Specialist Psychiatrist / SAS Tutor and Assistant MD @CNTWNHS #Leadership #NHS #inclusive 💜 / Views my own 🏳️‍🌈,United Kingdom
19265,101885868,🇪🇬🇫🇷Medical Doctor in the UK. Sleep and Behavioral Medicine Specialist,"London, England"
19394,1113062777260634112,"MBBS , MD.",United Kingdom
19596,272501357,"Consultant Ophthalmic Surgeon in London - Cataract, Glaucoma, Refractive @MyiClinic @GSTTnhs, TheClinicHollandPark. Cataract Trainer, IP Supervisor for Optoms.",London
19648,2869286038,"Laryngology, Head & Neck and Rhinoplasty Surgeon | Cambridge University Hospitals | The London Clinic | #Tech #Diversity #PatientSafety #MedEd | Views my own","London, England"
19812,1543337608427851779,Mum of 2 | Author - The Anti-Racist Organization | MD @hrrewired | Chair @adeif_uk | 86k followers on LinkedIn (my usual playground) | Sparodic tweeter,United Kingdom
19855,774242383437389825,"Plastic & Reconstructive Surgery Registrar.MSc Health Policy, Planning & Financing @LSENews & @LSHTM.WinS Forum @WomenSurgeonsUK @RCSnews.FInstLM.Photography📸",London
20001,92854590,"Male, ENT Surgeon. Love tennis, squash + golf. Views my own, retweets not. Gwryw, Llawfeddyg ENT. Caru tennis, squash a golff. Barnau fy hun (nid ail-drydar).","Gwynedd, North Wales"
20007,914009283171426304,"GP, Deputy MD @nhs_nclicb ,Trustee board member @rcgp. Optimist at heart, believer in people power. Personal Views/RTnotE","London, England"
20034,2298068130,"Consultant Ophthalmic Surgeon Frimley Health NHS Foundation Trust, Postgraduate Dean HEE South London, Clinical Director KSS Clinical Research Network","England, United Kingdom"
20240,158129770,Consultant Ophthalmic Surgeon. Co-clinical lead. Frontline Ophthalmologist ( actually doing the job) Royal Bolton Hospital,"Bolton, England"
20247,4032628797,"Consultant Ophthalmic Surgeon, #strabismus #cataract #ophthalmology and animal based tweets 🏳️‍🌈","London, United Kingdom"
20254,1463808768056123396,"Hospital Liaison Manager @the_MDU. Offering educational support for doctors in hospitals,121 meetings for consultants and membership advice. Based in the South.",South England
20421,383396292,"@NHSleadership MD, PMstr. @guildhrprofs fmr.@stonewalluk chair Fellow @theRSAorg #ProudMum 👩‍👩‍👧 🐱 🐱 🐱 🐶 💓 & 😡 unsafe #taylorwimpey🔥🏠 personal views",London & Cirencester via Wales
20423,918260829719613440,@NHSuk Junior Doc • @unibirm_MDS Alumni • Aspiring 👁 #Doctor • Genetics 🧬 • AI Datasets | All views are my own,"Oxford, England"
20553,1172596133971091457,"Medical Doctor, Gym-goer, Baker, Marvel enthusiast.","England, United Kingdom"
20563,790587557805486080,Consultant Developmental Paediatrician (Neurodiversity esp. in women & ethnic groups) Creativity/Compassion/Well-being. Poet/Playwright/Mum. She/Her,"London, England"
20590,2682927610,Medical Doctor 🇳🇬 🇬🇧. Christian. Startup Mentor. Founder:theBolaFoundation.,United Kingdom
20731,1252215210770923520,"ENT Surgeon, Teacher and Author of Wiley's How to Succeed in Medical Research, usually talking (complaining) about Rugby, Arsenal & international Politics.","Oxford, England"
21126,3136335558,NMDCFS #CFS18 | @bmj_latest '18| @gmcuk '19 | @nhsengland '20 | General Surgical Trainee| #medleadership\nCo Founder @womenspeakershc \n🏳️‍🌈 Tweets are own view,"London, UK"
21509,880439389414928384,Consultant Urological Surgeon @GSTTNHS | Governance Lead @LG_NHS • Specialist Interest in Robotic Prostatectomy/AI/AR/#Digitalsurgery• Views my own,"London, England"
21512,298387960,"Consultant Orthopaedic & Hand Surgeon UCLH, Ex-RCS WinS Committee, Site Lead T&O UCLMS (Bloomsbury), Hult Ashridge Executive MBA student. Views my own.",London 
21531,147743784,Surgeon Oculist to HM The Queen. Eye Surgeon Imperial College Healthcare NHS Trust and King Edward VII's Hospital. Ophthalmologist. Eye Surgeon,London W1
21580,2482324958,"Professor of Ophthalmology and Consultant Ophthalmic Surgeon, UCL Institute of Ophthalmology & Moorfields Eye Hospital #retina #stargardts #RP #AMD #diabetes","London, England"
21597,4115264541,"Ophthalmologist & Vitreoretinal Surgeon, PhD Genetics of Retinal Detachment & Ectopia Lentis, Section Editor @Eye_journal",United Kingdom
21647,838125345601630208,Consultant Urologist & Robotic Surgeon. Former Editor-in-Chief of the Annals. Court of Examiners. Worshipful Company of Barbers.,"London, England"
21673,391676711,Consultant Ophthalmic Surgeon in Glaucoma. Assoc Medical Director @ManchesterREH @MFT. Chair of Training @RCOphth. Views my own. Weaknesses cake and travel,"Manchester, England"
21692,2815356095,SpR @rcpsychforensic @swlstg #choosepsychiatry| prev #NHS NMD Clinical Fellow #CFS19 @NHSEngland @AoMRC | For: #medleadership #globalmentalhealth @trainees4gmh,London
21711,1132150884,Consultant Ophthalmic Surgeon : #cataract; #cornea; #lasereyesurgery; #phakic lenses; #ICL; #multifocal lenses; #dry eye; #keratoconus; #intacs; #crosslinking,London
21719,4053400883,Expert Laser Eye Surgeon & lead consultant at London Dry Eye Clinic,"London, England"
21723,785126743,"NHS & Private Consultant Eye Surgeon, Cataract and Retina Specialist, Certified Lifestyle Medicine Physician, Wellness & Aesthetics doctor, opinions my own.",London & Cambridge
21724,789027881653600261,"Professorial Teaching Fellow, Consultant Ophthalmic Surgeon. PFHEA. @moorfields @UCLeye. Honorary Treasurer @ASMEofficial. Gen Q fellow. Views my own.","London, England"
21737,846339270461837313,Consultant Ophthalmic Surgeon - London & East Sussex. @KEVIIHospital  @ESHTNHS. On a yogic journey. Founder of The Guru Projects Foundation.,London & East Sussex
21768,1019660586211315713,#EyeDuckie/Surgeon in South Yorkshire 👀🦆| Tea Addict☕| Keen walker 🥾| Wholesome socially distant butterfly🦋\n\nTweets= personal views only,"Sheffield, England"
21835,1465357457711108111,"Hospital Liaison Manager for @the_MDU. Offering educational support for doctors in hospitals, 121 meetings for consultants and membership advice. Central London",London
21839,753557729688551424,"Consultant Eye Surgeon. Chair of Education, European Board Ophthalmology #strabismus surgery, British cheeses and obscure rock bands IG: squint_queen (she/her)","Manchester, United Kingdom"
21958,1125215619270496256,Consultant Liver and Pancreas Surgeon at Royal London Hospital. views are my own.,"London, England"
21960,1016751993929510923,"PTs, OTs, RSWs and ARSWs covering medical, orthopaedic, surgical, critical care & palliative wards. Passionate about MDT working and patient centred care","London, England"
22159,1189253480978046977,Aspiring Urologist | Royal College of Surgeons in Ireland alumnus 👨‍🎓| ❤️💙 Barca ⚽️,"Cambridge, England"
22177,879305997084495872,Consultant Urological Surgeon at Cheltenham General Hospital,"Stroud, UK"
22195,852564290,"Surgeon, Specialist Centre for Kidney Cancer @RoyalFreeNHS @KEVIIHospital | Chair @NCL_ICS Urology Network | @BAUSurology Council | Lecturer @UCLDivofSurgery","London, England"
22208,1052759886860353536,"Urology Speciality Doctor , working in NHS 🇬🇧.Member of Royal College of Surgeons.|Muslim|Father of Irha & Shahzain | Proud Pakistani 🇵🇰","Blackpool, England"
22246,766669869454651393,An Iraqi MD based in the UK.,"London, England"
22255,1141804120875122692,"Work : Consultant Urological Surgeon in Newcastle upon Tyne - interests include Endourology and General Urology. Homelife : wife and two daughters, any sport","North East, England"
22401,803866099758534656,Consultant Urological Surgeon @SalfordCO_NHS / Kidney Cancer Robotics / FRCS 🏅/ Clinical Director for Urological Cancers @GM_Cancer/ Former @BSoT_UK Chairman,"Manchester, England"
22588,1099971956512833536,Experienced HPB and General Surgeon Mr Thomas Satyadas who specialises in keyhole (laparoscopic) surgery and treatment of gallstones,"Manchester, England"
22652,1481944150824132608,Medical Director @OpenMedicalLtd 🩺 \nOrthopaedic Surgeon @NHSuk \nExecutive MBA @ImperialBiz\n\n#NHS #DigitalHealth #HealthTech,"London, United Kingdom"
22660,1453336218,"Consultant Urological Surgeon. Robotics, Prostate cancer Diagnostics, BPH, Rezum, HoLEP. He/Him","London, England"
22673,1410461670,"A mature Surgeon, Urologist and Robotic Uro-oncologist, an immature photographer and dreamer, victim of passionate love and logical thinking","London, England"
22780,250206114,"Consultant Urological Surgeon & Andrologist @UCLH | Men’s Health, Surgical Andrology, Male Genital Cancer and Fertility | Honorary Associate Professor @UCL","London, United Kingdom"
22920,748441443300179968,"Consultant Urological Surgeon, Freeman Hospital, Newcastle. Specialise in Endourology, Laparoscopic Donor Nephrectomy and Urological issues in Transplantation","Gateshead, England"
22921,407064769,Consultant Urological Surgeon- East Lancashire Hospitals NHS trust / Vice chair-SAS@BAUS / Qualified football analyst - views are my own,"Sale, England"
22951,1396715150,British Association of Urological Surgeons\n#BAUS23,United Kingdom
22962,1846064857,"Consultant Urological and Robotic Surgeon, Bart's Health NHS Trust. Prostate cancer, robotic surgery, MDT and quality improvement enthusiast.",London
22980,466459393,"Urologist and Robotic Prostate Cancer Surgeon |\nResearch on tackling antibiotic resistance in UTIs\n\nUniversity College London Hospitals, Dept of Urology","London, England"
23006,83611996,"Consultant Urological Surgeon. Chesterfield Royal & Sheffield Teaching Hospitals. MBBCh, MCh MIS, FRCS(Urol). RT not Endorsement.",United Kingdom
23026,753693727521210368,"Consultant Urological Surgeon | Robotic Kidney Surgery - Da Vinci & Versius | Frimley Park Hospital, Surrey @FrimleyRCC","London, England"
23063,68509915,"Consultant Urological Surgeon, Bristol Urological Institute @bui_nbt, @NorthBristolNHS. Kidney Cancer, RP Sarcoma, RPLND. views are my own. no endorsement","Bristol, UK"
23069,160229174,"MD, FRCS Consultant Urological Surgeon at Kings’s College Hospital London, UK. MSc, FEBU, FECSM, FRCS","London, England"
23084,873610284954509312,Prostate Cancer Scientist @UofGlasgow @CRUK_BI\n \nRobotic Surgeon @NHSGGC,"Glasgow, Scotland"
23090,851487703,"Urological surgeon with special interest in minimally invasive surgery and Endourology. BSC, MD, FRCS (Urol)- Views are my own",United Kingdom
23094,79793671,London based Robotic/  Laparoscopic Urological Surgeon ( Kidney / Prostate cancer).Lead Cancer Clinician St Georges' Hospital.Motivated by surgical innovation!,London
23105,118851387,Consultant Interventional Radiologist | Interventional Oncology | MD FRCR EBIR | Husband & Father | Sun-deprived Mediterranean | #iRad,"Bristol, England"
23112,725275664392278016,Consultant Urological Surgeon | Fellowship trained in Andrology & Male Factor Infertility | All views my own,"London, England"
23116,1359822054556643328,"Consultant Urological Surgeon @AberdeenAuu @NHSGrampian & Senior Associate, @uroweb Guidelines.(Views are my own, RT not an endorsement)","Aberdeen, Scotland"
23145,871973092310036480,"Consultant Surgeon - Edinburgh Orthopaedics Sports Medicine / Alumnus - Stanford, Edinburgh, UCLA / FRCS, PhD / Assoc. Editor @BoneJointJ and @BoneJointRes","Edinburgh, Scotland"
23148,2475844199,Consultant Urological Surgeon & Andrologist @RBNHSFT @ForburyClinic @TFPFertility | Fellowship trained in men’s health& fertility @iAndrology | All views my own,"London, England"
23151,52477906,"NHS Scotland Orthopaedic Surgeon ⚕️\nKnee, hip, sports injuries ⚽🎾🎿\nMedical Education 🎓\nhttps://t.co/fTrkkdzZIL Author 📚 @ugtmedicine\nViews are my own","Glasgow, Scotland"
23189,974532056204980224,"MD, HSUrol(MSc), FPBU, FRCS (urol). A.Professor and Urology consultant. RCSEd SSB member",United Kingdom
23201,924653322610593792,"Consultant Urological Surgeon, Honorary Clinical Lecturer-RCS College Tutor SWFT. All views are my own . Retweets do not equal endorsements.","Warwick, England"
23258,377370005,Consultant Urological Surgeon specialist interest in minimally invasive Laparoscopic surgery and Endourology,England
23269,3302504217,"Consultant Surgeon at the Manchester University NHS Foundation Trust, Manchester, UK.","Manchester, England"
23332,4040426421,Consultant Urological Surgeon (BPH and Stones) @KingsCollegeNHS @Urology_KCH,"London, England"
23338,3496897693,Consultant Ophthalmic Surgeon with a specialist interest in cataract and oculoplastic surgery. Nhs Fife. Hon. senior lecturer@ St. Andrews & Dundee universities,"Scotland, United Kingdom"
23341,3662801840,Consultant Urological Surgeon at Frimley Park - Interest in Female and Functional Urology,London
23380,1247157566959783938,"Surgeon, author, historian and once a soldier.","East, England"
23396,470049457,"Consultant Urological Surgeon. Editor, Urology News. My views are my own.","Bridgend, Wales"
23418,978661070494732288,Consultant Urological Surgeon | Guy’s and St Thomas’ Hospital | Lewisham & Greenwich NHS Trust | Special interest in Andrology & Genito-Urethral Reconstruction,"London, England"
23419,860915575509352452,Consultant Urological Surgeon and Renal Cancer Researcher,"Edinburgh, Scotland"
23469,2355401039,"Consultant Urological Surgeon, Manchester Royal Infirmary                 Views are my own","Manchester, UK"
23472,1680239647,Urological Surgeon • Associate Clinical Professor • Reconstructive Urology & Andrology • Medical Educator • Omnia Feminae Aequissimae,"London, England"
23525,1060579644,"Consultant Urological Surgeon, Hampshire Hospitals Foundation NHS Trust, Winchester, United Kingdom. Views my own. RT not endorsement.","Winchester, England"
23639,1093256789871808513,Consultant Urological Surgeon l EAU Guidelines l Fellow European board of Urology l Dad I Views=own,"Newcastle Upon Tyne, England"
23640,1121858023591489536,"Husband, Dad | Urological Surgeon | Director Edinburgh Bladder Cancer Surgery @EdinSurg_BC | EAU Bladder Cancer & UTUC Guideline panels | Golfer. Views my own","Edinburgh, United Kingdom"
23641,1426406208,"Consultant Urological Surgeon & Hon. Senior Lecturer, Guy’s Hospital,London @GSTTnhs @LG_NHS @Kingsmedicine @KEVIIHospital BPH|HoLEP|Prostate diagnostics|Stones","London, England"
23657,414332705,"Consultant Urological Surgeon. Views are my own, RT are not endorsements.","London, England"
23678,1075479649277358080,"MD FRCSEd, Consultant Knee Surgeon NHS Fife I Assoc PG Dean NES I Sen Lect UoStA I Knee Stuff, Med Educator, Father & other trivial interests. All views my own","Bow of Fife, Scotland"
23716,950148084792782848,Consultant Urological Surgeon (Endourology and Upper Urinary Tract Surgery)\nHonorary Senior Clinical Lecturer,"Glasgow, Scotland"
23721,3349017491,"Associate Professor, University of Oxford. Consultant Urological Surgeon, Oxford.","Oxford, England"
23739,2815092335,I am a Consultant Urological Surgeon in West London and Berkshire.  I use the latest techniques to make surgery as quick and painless as possible.,London
23780,1574703066,"Consultant Urological Surgeon with special interest in urinary tract stone disease, Men's Health & quality improvement. Views own. RTs not endorsements.","Manchester, UK"
23826,283224792,"Consultant Urological Surgeon. Endourologist, stone surgeon & health informatician. Photographer. Cyclist. Sub Ed Urology News","Birmingham, England"
23833,3634536436,"Consultant Urological Surgeon, Darent Valley Hospital. Specialist interest in stone surgery, endourology and paediatric urology. All views are my own.","London, England"
23854,248206835,"Consultant Urological Surgeon @RoyalFreeNHS. Special interests in HoLEP, Stones & UTUC","London, England"
23855,232930740,Consultant Endourological Surgeon/Honorary Academic @ University of Nottingham. Hon Secretary BAUS Endourology.,"Nottingham, UK"
23857,155502452,Consultant Urological Surgeon https://t.co/gumxWjTXbJ,Chester and North Wales
23869,2698728298,"Consultant Urological Surgeon with special interest in urinary stone disease, HoLEP for BPH and Mens health. Views own. RT's not endorsements.","Norfolk, UK"
23881,2276867540,"Consultant Urological Surgeon, passionate about upper tract robotics & lap - and music! Born Pontic & raised Spartan, growing Scot. Views are my own...","Aberdeen, Scotland"
23907,2922056883,"Consultant Urologist & Robotic Surgeon. #Prostate cancer #Upper Tract cancers, EUREP/LapHOTrainer, MDT chairman, BAUS onc,EAU UTUC committee, Dad, #AI, #COYG","Freeman Hospital, Newcastle,UK"
23959,480664201,Professor and Chair of Robotic Surgery @UniofHerts / Consultant Urological and Robotic Surgeon + Associate Medical Director - Cancer Services @enherts 🇬🇧🇮🇳,"Stevenage, London, New Delhi"
23962,2431729270,Consultant Urological Surgeon specialising in Benign Prostatic Obstruction and kidney cancer.\nPart time marathoner.,"Cambridge, UK"
23984,499500654,Consultant Urologist and Cancer Surgeon at James Cook University Hospital. Previously @Newcastleurolo1 fellow.From Bologna🇮🇹RT NOT endorsement. CrossFit &🍷,"Newcastle Upon Tyne, England"
24076,194949319,"Consultant Surgeon. All views my own, perceptive views may not be.","Liverpool, UK"
24115,1583126468007264259,This is the Twitter feed of kidney-orientated researchers (Clinicians/Surgeons/Scientists/AHPs) across Edinburgh.,Edinburgh Scotland
24335,1361485442638569475,"• FY2 @ Glasgow • Dundee Graduate • Aspiring Surgeon • sugar fuelled, adventure loving, coffee addict • 💫🌍🌿🏔🌸","Scotland, United Kingdom"
24359,791027437,CBT & EMDR Compassion Focused Psychotherapist. Raising awareness of mental health using compassion & kindness. Loves dogs. Loves gardening & attempts to run.,"London, England"
24431,1537490379439841282,"Passionate transplant/ G surgeon ,I like to live in a peaceful eco friendly world.Honorary associate prof at UCL. MD FRCS FACS FEBS in love of food & languages.","London, England"
24442,1481269096616542210,"MBBS, MSc,MD, PhD,FEBS, FEBVS,FRCS (vascular). Visiting Professor @Anglia Ruskin Univeristy. Vascular surgeon","England, United Kingdom"
24562,979738877580795905,Medical Student at the University of Exeter | Aspiring Academic Surgeon | @STARSurgUK Steering Committee | @ExeterSurgSoc Surgical Skills Lead,"Exeter, England"
24567,2871111235,"Consultant Plastic & Reconstructive Surgeon, Associate Prof anatomy @ExeterMed. Lives in the moment but ageing fast. Foodie, Springsteen 🎼& hip-hop lover!","England, United Kingdom"
24737,394350209,"Aspiring UGI Surgeon | Co-ordinator of TUGSS Academic Group @T4UGIS | Social Media Lead @roux_group | ST4 General Surgery, London.","UK, London"
24770,1476294075808690178,Consultant Bariatric and Upper GI Surgeon at Imperial Weight Centre. #ImperialCollegeLondon,"London, England"
24898,970076873475723264,Consultant Endocrine & General Surgeon and hernia enthusiast. #thyroid #parathyroid #adrenal #SCOOP. Governor. Oxford University Hospitals Foundation Trust,"Oxford, England"
25087,636388255,"Senior Clinical Fellow in Transplant Surgery and Organ Retrieval, Cambridge University Hospitals NHS Foundation Trust. MD Student, University of Cambridge.","Cambridge, England"
25136,858289655426449410,"Consultant #Oncoplastic #Reconstructive Breast Surgeon /Trust Cancer Lead\n\n@BucksHealthcare #BucksBreastUnit \nWife, mother, dog guardian🐕 #ProudtobeBHT",London / High Wycombe
25363,371862047,Surgeon with a love for the outdoors. Award winning landscape photographer,"Glasgow, Scotland"
25403,1368870969868226563,Consultant Surgeon  \n\n- honest tweets from the operating theatre -\n\nHands | Microsurgery | Career Strategy | Intellectual property,London 
25440,747502852168368128,Lung Transplant and Respiratory Paediatrician. Co-director Cardiothoracic Transplant at Great Ormond Street Hospital. Opinions my own.,United Kingdom
25544,2945246695,"MBBS| MD in Medicine |MSc(UK)| MRCP (UK/Nephrology)| ISN-CNC | @GlomCon Fellow 2021-22|\nISN member | ASN, ACP, RPS member | Cricket lover.. 🇱🇰",Sri Lanka and United Kingdom 
25564,192240928,"MD, MSc, FEBS in Transplant Surgery. Consultant General Surgeon Laiko University Hospital Athens","London, England"
25633,786569870,Paediatrician & kidney doctor @GreatNorthCH & @NationalaHUS|Rare diseases researcher 🩺↔️🧬|#aHUS|🇨🇿in❤️🇬🇧|#DataScience|#SoMe @ipnajc|VP @scsd_uk|#Futurist,"Newcastle Upon Tyne, England"
25662,1085624609788047364,Consultant Renal Transplant and Vascular Access Surgeon,"West Midlands, England"
25688,976078287050104832,"MD PhD, interest in immunologic kidney diseases. Board member of ERA IWG, SAB and YNP. Mountain lover! Views my own.","Cambridge, England"
25763,1322952373115957249,"Locum Consultant Transplant & Organ Retrieval Surgeon, Cardiff","Cardiff, Wales"
26122,401587753,Full-time Professional Tweeter & Part-time Nasal Surgeon,"Southampton & London, UK"
26308,1230877491042095104,Consultant Transplant Surgeon. Honorary Clinical Senior Lecturer. Former National Clinical Lead in Health Informatics. Views my own. Retweet not an endorsement.,"Glasgow, Scotland"
26388,1045934846667837440,"Kidney doc & Deputy MD, Manchester Royal Infirmary. Into Innovation & Transforming Healthcare Systems; Gooner, Oenophile...Own views","Manchester, UK"
26572,1174031908541468672,Consultant Transplant Surgeon | Cambridge university NHS hospital | 🇮🇳 in 🇬🇧 | 🩸🏏,"Cambridge, England"
26650,883251002693926912,"HPB & Transplant, Robotic Surgeon. Newcastle. Associate Professor, University of Auckland, NZ. RSA @RCSED . Vice-Chair Surgical Specialty Board @RCSED","Newcastle Upon Tyne, England"
26743,1213839991,Consultant Renal Transplant Surgeon @royalfreenhs. Professor of Renal Transplantation @ucldivofsurgery @iit_ucl. Views are my own.,"London, England"
26753,3429020410,"Consultant Hepatobiliary & Transplant Surgeon and Head of HPB Service at Freeman Hospital, Newcastle upon Tyne, UK","Newcastle Upon Tyne, England"
26907,1102415338950615040,Transplant Surgeon @CV_UHB. Proud son. Dad to 2 beautiful children. Husband to a patient wife. Love running.,"Cardiff, Wales"
26919,929648719791886336,Consultant Urological & Renal Transplant Surgeon @royalfreenhs,"London, England"
26944,184181501,"Consultant Vasc Surgeon, Head of School of Surgery KSS, Clinical Advisor HEE Workforce Alignment, Chair of Vasc Surg SAC, Chair of @PRiSM_Surgery 🏳️‍🌈 She/her","London, England"
26960,273524439,Consultant Transplant and Vascular Access Surgeon.,"Birmingham, England"
27095,920054305574543360,Medical Doctor @LNWH_NHS Graduate @ImperialCollege,"London, UK"
27211,782886655,Head & Neck Reconstructive Surgeon UCLH and Harley Street Clinic; Striving for best head and neck services in London.. President Elect EACMFS,"London, UK"
27430,1048870595306409985,Consultant Transplant Surgeon @GSTTnhs,"London, England"
27444,1051586435436949508,Consultant Transplant and Dialysis Access Surgeon @GSTTnhs; ELPAT Chair @ESOTtransplant; RCS Emerging Leaders 2022; Researcher @BOUnDTrial #bothnothalf,"London, England"
27446,180333882,"🇹🇷 Doçent Dr, Çocuk Cerrahisi Uzmanı ve Böbrek Nakil Cerrahı / \n🇬🇧 Assoc. Prof, Paediatric Surgeon and Kidney Transplant Surgeon","London, England"
27549,896489318163910657,"MD, Fellow Maxillofacial Surgery | PhD Candidate Craniofacial Surgery @GreatOrmondst @GoshCranioRes | Director of FaceFinesse Ltd","London, England"
27780,458375698,Surgeon. Teacher. Entrepreneur. Innovator. Teacher. Humanitarian\nCMO @MedRealities \nCMMO @AimedisGlobal \n@VodafoneUK Ambassador for 5G/Connected Health,"London,England"
27788,926135722205163521,"Liver Transplant Surgeon with interest in biomarker discovery,disorders of the biliary system and transplantation. Views my own.","England, United Kingdom"
27803,974221397617717254,"Surgical Registrar SE Scotland deanery, wannabe Transplant Surgeon @RIE_Lothian. NHSBT KAG trainee representative. Mother of two fur babies and a small human","Edinburgh, Scotland"
27843,953519752860897280,Dad to two beautiful little people. Keen runner. Transplant and Vascular Access Surgeon. TPD General Surgery (Wales).,"Cardiff, Wales"
28032,925828602020679681,"MBChB, MD, FRCS. Transplant Surgeon, Hammersmith Hospital @imperialNHS","London, England"
28051,1477479463,Surgeon | Veteran | @UHSussex,"England, United Kingdom"
28275,46766209,MBChB MSc MD FRCSEd | Surgeon | Researcher | Based in Edinburgh Transplant Centre @NHS_Lothian @EdinSurg | Senior Lecturer & Hon Cons @NLIHPB |,"Edinburgh, Scotland"
28634,422403420,Urologist and Transplant Surgeon ✨Doing things my way✨ Work at St George’s Hospital. EAU Guidelines Panel Associate,London
28637,1520197350,"Consultant Transplant Surgeon. Kidney, Pancreas & Multivisceral Transplant.","Cambridge, England"
28658,2368968042,"MRC Senior Clinical Fellow | 1777 Professor of Clinical and Experimental Surgery | Liver, Biliary and Pancreas Surgeon","Edinburgh, Scotland"
28830,854410040,Academic Clinician at Imperial College London & Consultant HPB Surgeon.,"London, England"
28838,805429393598324737,"Retired Consultant Transplant Surgeon, FEBS/EBSQ @UEMSEurope   *Primum non nocere*","Edinburgh,Scotland/BV🇹🇩"
28864,730143638060212225,"Nephrologist @UHBtrust, Hon. AssocProf@ImmunologyUoB, @MDsAgainstFOH Secretary, @NBTA_UK Member, @BTStransplant Council, @Kidney_Research & @Giveakidney Trustee","Birmingham, England"
28913,3307035729,Urologist & Transplant Surgeon; Clinical Audit/QI and Data Visibility - views are my own,"London, England"
28969,2301688665,Consultant Upper GI Surgeon and Clinical Senior Lecturer. Proud to work at @Imperialcollege in @imperialsandc and @medefercare. All views are my own.,"London, UK"
29061,4386701129,Senior Laparoscopic Surgeon for 35 years,"Leeds, England"
29069,1560596701,"Surgeon. Interest in Major Trauma and EGS. Non clinical interests include fountain pens, fast bowling, faster cars and even faster PCs. #DBAD"," East, England"
29151,712206740398448640,"Consultant Transplant Surgeon - Kidney, @pancreastx #transplantation #vascularaccess @imperialNHS foodie and photographer.","Hammersmith Hospital, London"
29259,4875707769,Transplant Surgeon,"Hammersmith, London"
29341,1668811130,Transplant Surgeon & a diehard Sports Enthusiast . Views my own. Retweets not an endorsement.,"Oxford, England"
29458,289066785,Consultant Transplant & Vascular Surgeon @ImperialNHS,"Imperial College, London"
29531,2580811552,Husband & Dad of two little boys| Consultant Renal Transplant & Vascular Access Surgeon| Vice-Chair of Young Professionals in Transplantation (ESOT),"Birmingham, England"
29794,3073399288,NHS Surgeon in the UK,"London, London City"
29994,281988809,"MD & Founder, The Cambridge Research Centre - The Treatment Strategies Series. Writer, sports fan and marathon runner. I tweet bio/pharma and healthcare news",London
30058,745061761,"Cons Transplant, General Surgeon & Clinical Lead @MRITransplant | EPS & AWR | MD FRCS | TPD General Surg @HEE_NWest | SAC General Surgery | Views my own","Manchester, England"
30108,577384344,Glaswegian in Yorkshire | Consultant Transplant Surgeon (adult/paed) | MedEd | Vegetarian | Tweets represent my personal views. (He/Him),"Boston Spa, England"
30455,1169342896333623299,Consultant Cardiologist | Cardiac Imaging | Echo | Cardiac MRI | NHS District Hospital | Listen to your body and your heart will respond | All views are my own.,"Nottingham, England"
30483,1030840370941362181,"Interventional Cardiology Fellow@University Hospitals of North Midlands, MD student @Keele University. MBChB, MRCP (London). Tweets mine","West Midlands, England"
30537,29666763,"Teacher, Royal Conservatoire of Scotland(RSAMD)classically trained actor & Spurs season ticket holder. @TheVARSidePod Representation:Shane Collins Associates.","Chelmsford, England"
30547,1144535694632726528,"Interests: cardiology,immunology,ageing,evolution | Wellcome PhD @gilroylab_UCL | Cardiologist | Author Ox Handbk Foundatn Prog | Trying to find out the truth","London, England"
